station_id,station_name,latitude,longitude
5,State St & Harrison St,41.87395806000000000,-87.62773949000000000
13,Wilton Ave & Diversey Pkwy,41.93250008000000000,-87.65268082000000000
14,Morgan St & 18th St,41.85808600000000000,-87.65107300000000000
15,Racine Ave & 18th St,41.85818061000000000,-87.65648665000000000
16,Wood St & North Ave,41.91032900000000000,-87.67251600000000000
17,Wood St & Division St,41.90332000000000000,-87.67273000000000000
19,Loomis St & Taylor St,41.86941700000000000,-87.66099600000000000
20,Sheffield Ave & Kingsbury St,41.90959193000000000,-87.65349723000000000
21,Aberdeen St & Jackson Blvd,41.87772613000000000,-87.65478743000000000
22,May St & Taylor St,41.86948210000000000,-87.65548640000000000
23,Orleans St & Elm St,41.90292400000000000,-87.63771500000000000
24,Fairbanks Ct & Grand Ave,41.89186000000000000,-87.62062000000000000
25,Michigan Ave & Pearson St,41.89766000000000000,-87.62351000000000000
26,McClurg Ct & Illinois St,41.89102000000000000,-87.61730000000000000
27,Larrabee St & North Ave,41.91021000000000000,-87.64350000000000000
28,Larrabee St & Menomonee St,41.91468000000000000,-87.64332000000000000
29,Noble St & Milwaukee Ave,41.90068000000000000,-87.66260000000000000
30,Ashland Ave & Augusta Blvd,41.89964300000000000,-87.66770000000000000
31,Franklin St & Chicago Ave,41.89680204000000000,-87.63563839000000000
32,Racine Ave & Congress Pkwy,41.87464000000000000,-87.65703000000000000
33,State St & Van Buren St,41.87718100000000000,-87.62784400000000000
34,Cannon Dr & Fullerton Ave,41.92675599000000000,-87.63442878000000000
35,Streeter Dr & Illinois St,41.89107100000000000,-87.61220000000000000
36,Franklin St & Jackson Blvd,41.87770796000000000,-87.63532114000000000
37,Dearborn St & Adams St,41.87935636000000000,-87.62979104000000000
42,Wabash Ave & Cermak Rd,41.85323876000000000,-87.62533709000000000
43,Michigan Ave & Washington St,41.88389277000000000,-87.62464914000000000
44,State St & Randolph St,41.88473020000000000,-87.62773357000000000
45,Michigan Ave & Congress Pkwy,41.87606560000000000,-87.62443336000000000
46,Wells St & Walton St,41.89993001000000000,-87.63443007000000000
47,State St & Kinzie St,41.88918000000000000,-87.62770000000000000
48,Larrabee St & Kingsbury St,41.89776400000000000,-87.64288400000000000
49,Dearborn St & Monroe St,41.88131982000000000,-87.62952092000000000
50,Clark St & Congress Pkwy,41.87593267000000000,-87.63058454000000000
51,Clark St & Randolph St,41.88457623000000000,-87.63188991000000000
52,Michigan Ave & Lake St,41.88605812000000000,-87.62428934000000000
53,Wells St & Erie St,41.89383200000000000,-87.63419500000000000
54,Ogden Ave & Chicago Ave,41.89636246000000000,-87.65406127000000000
55,Halsted St & James M Rochford St,41.86586100000000000,-87.64661100000000000
56,Desplaines St & Kinzie St,41.88871604000000000,-87.64444785000000000
57,Clinton St & Roosevelt Rd,41.86711778000000000,-87.64108796000000000
58,Ashland Ave & Armitage Ave,41.91785887000000000,-87.66891900000000000
59,Wabash Ave & Roosevelt Rd,41.86717300000000000,-87.62595501000000000
60,Dayton St & North Ave,41.91057803000000000,-87.64942193000000000
61,Wood St & Milwaukee Ave,41.90765500000000000,-87.67255200000000000
62,McCormick Place,41.85137517000000000,-87.61883465000000000
66,Clinton St & Lake St,41.88583274000000000,-87.64138231000000000
67,Sheffield Ave & Fullerton Ave,41.92560188000000000,-87.65370804000000000
68,Clinton St & Tilden St,41.87588500000000000,-87.64079500000000000
